nama,fakultas,nilai_mat,nilai_kim,nilai_fis
Robert Martinez,FITB,67.87,57.05,56.01
Marilee Wedderburn,FTTM,68.86,47.38,62.89
Linda Echard,FMIPA,77.51,51.22,66.26
Patty Cordell,FITB,76.05,45.04,51.28
Cherly Pitts,SITHS,72.93,64.13,70.09
Paul Wilkins,FMIPA,39.71,29.81,42.25
Glen Mcrae,FMIPA,76.87,63.46,62.48
Margaret Bonsall,STEI,86.06,34.14,41.6
Jaime Donovan,SITHS,45.29,34.0,31.8
Sara Leyrer,FMIPA,67.87,43.17,47.84
Carolee Willis,SITHR,54.17,50.59,57.07
Isabel Larson,STEI,84.13,45.61,65.06
Mary Cohen,FTTM,57.41,30.83,41.18
Federico Hossain,SAPPK,51.61,65.82,61.93
Melanie Cavanaugh,FMIPA,62.34,37.39,52.44
Peter Smith,SITHR,60.11,42.67,60.43
Edna Lawrence,SITHR,54.72,43.96,41.91
Guadalupe Lee,STEI,85.68,45.88,58.34
Thomas Harrison,SAPPK,56.26,48.4,68.46
Howard Berry,SITHS,72.06,56.74,40.35
Cameron King,FTI,59.89,74.29,83.95
Jose Ashton,FTMD,100.0,29.34,34.01
Samuel Dini,STEI,56.16,50.77,56.92
Michael Welch,FTI,74.04,51.32,62.53
Dolores Cruz,SITHR,66.8,56.87,71.98
Jerry Ayala,STEI,70.09,29.85,31.26
Carmen Antoniou,FMIPA,78.92,48.83,64.49
Patrick Loken,FMIPA,55.32,43.96,50.05
Carol Gates,FTMD,62.3,39.42,42.5
Elaine Bizzell,SAPPK,59.25,47.63,51.78
Howard Peppers,STEI,65.47,40.63,43.44
Ray Carlson,FTMD,73.5,46.38,55.72
Keith Hill,FITB,73.25,51.23,56.49
Henry Wilkinson,FMIPA,68.66,32.85,62.15
Steve Linnen,FTI,78.23,60.82,66.62
Deborah Romero,FTTM,62.88,53.15,62.6
Harvey Hall,FMIPA,76.21,30.35,41.36
James Pavao,FTI,81.54,57.14,58.62
Mary Mchenry,FTTM,77.29,70.58,63.48
Charlie Hollars,FTI,82.27,42.64,53.56
Christian Disalvo,STEI,76.83,33.12,43.45
Timothy Snyder,FTMD,56.9,49.13,60.2
Shawn Campbell,SAPPK,65.1,38.29,47.0
Sandra Jones,FTI,65.12,58.77,60.96
Thomas Friend,SAPPK,56.92,30.88,31.77
James Eychaner,SAPPK,64.35,44.79,39.27
Jean Sudbury,SITHS,70.31,29.88,34.45
Latisha Stockdale,FITB,45.04,41.16,48.56
Christine White,FTSL,69.01,48.16,43.9
Sean Maberry,SITHR,77.04,40.76,46.84
John Rapkin,STEI,83.43,50.59,49.4
Mohammad Jones,FTI,84.32,53.26,50.53
Barry Garcia,SAPPK,42.31,44.92,48.42
Kimberlee Young,STEI,72.23,42.14,57.08
Elizabeth Covington,FTI,57.51,41.79,48.89
Richard Shieh,FTI,87.86,30.42,23.19
George Jensen,STEI,71.56,54.09,61.94
Reba Ehrgott,SITHR,78.35,54.96,53.67
Alice Ewing,FMIPA,57.14,30.57,44.47
Nelle Roberts,FTMD,81.57,58.77,55.94
Rose Hoffman,STEI,50.29,32.42,49.65
Joan Rustrian,FTI,80.86,55.35,56.03
Carl Keyes,FMIPA,79.79,25.41,44.96
Dorine Baker,STEI,65.84,52.18,62.67
Katherine Bruton,FITB,59.25,57.91,75.51
Ruth Zodrow,FTTM,60.31,55.01,53.58
Mathew Felder,FTI,60.22,47.23,66.16
Megan Carter,SAPPK,78.07,52.74,58.41
Marita Davis,FTMD,44.22,52.63,59.35
Walter Snyder,FTMD,59.24,43.59,41.14
Henry Degen,FTSL,82.82,54.07,55.09
Mary Johnke,STEI,59.11,40.84,59.02
Mary Phillips,FTI,67.79,48.11,55.66
Matthew Perez,FTSL,65.51,62.25,71.45
Eve Hernandez,FITB,83.76,40.17,50.26
Stephen Green,FTI,76.91,57.23,60.03
Donna Ross,FTSL,72.21,37.96,55.9
Mary Castro,STEI,77.41,62.67,65.99
David Banks,STEI,52.13,49.59,52.08
Katherine Walker,FTTM,82.38,42.5,52.0
Alice Mcgrath,FITB,54.88,54.1,65.3
Patricia Thomas,STEI,87.45,34.06,42.78
Goldie Jenness,FTI,79.18,39.04,53.49
Bruno Delgado,FTI,80.31,43.91,49.26
Raymond Moniz,FTSL,86.58,33.4,48.05
Shanell Foreman,FMIPA,84.28,51.74,57.0
David Morris,STEI,73.9,51.98,47.41
Kandis Jacques,SITHR,74.09,41.84,45.93
Steven Mcmorris,FTI,78.59,40.44,48.66
Rudolph Weaver,SITHR,85.26,38.08,41.3
Eddie Dutton,SITHR,69.55,43.0,57.12
Mark Rich,STEI,61.32,44.55,53.09
Linda Bolin,FTI,66.16,32.93,47.75
Walter Hargrove,SITHS,77.43,39.56,54.0
Richard Frazier,STEI,68.67,38.59,43.9
Randolph Killough,FTMD,62.57,58.69,54.2
June Voyer,FMIPA,74.17,43.73,59.38
Valerie Allen,FTSL,73.94,51.02,55.89
Angela Tolston,FMIPA,59.49,40.89,52.23
Ruben Sewell,FTSL,77.27,38.4,39.58
Joseph Bevens,FMIPA,74.33,59.13,49.84
Janie Johnson,FTI,89.51,53.73,56.86
Kimberly Chambers,FMIPA,68.76,34.91,42.67
Nancy Jameson,SITHR,64.92,28.76,24.68
Paul Constable,SITHR,57.62,54.04,55.75
Daniel Keyes,FTI,84.41,53.82,74.87
Joshua Moore,FTTM,73.86,66.81,59.24
Janet Lewis,STEI,79.69,42.4,53.63
Michele Guth,FITB,70.8,56.4,53.2
Sarah Dwyer,FTTM,49.82,44.18,52.45
Elsie Jimenez,FTMD,80.02,48.83,62.08
Eunice Perdue,FTI,45.37,39.13,49.48
Travis Thorngren,FITB,76.63,53.19,55.7
Sarah Corbett,FMIPA,71.59,49.45,50.02
Anna Dahms,STEI,76.2,50.38,57.27
Ruby Torelli,SITHS,73.18,42.78,49.56
Beulah Rizzuti,SITHR,78.17,71.91,83.05
Andrew Davis,FTSL,98.31,52.83,50.76
Albert Rice,SAPPK,74.06,37.61,41.54
Catherine Spence,FMIPA,76.51,51.18,54.38
Sonia Blish,STEI,62.7,50.15,58.62
Virginia Butler,FTTM,78.23,36.67,23.48
Rebecca Reach,STEI,57.79,41.12,49.11
Catherine Letko,FTTM,53.83,55.62,60.04
Sarah Davis,FITB,77.71,57.25,66.45
Stephanie Douglas,FTI,87.0,66.96,70.69
Rocky Franco,SAPPK,81.19,46.8,51.63
Ida Grindle,FTI,86.53,52.96,55.66
Arthur Hicks,FTI,79.93,36.15,40.76
Jessie Swank,FTI,78.69,51.75,46.05
Maryann Williams,FITB,54.47,45.57,57.08
Kim Hammel,FTMD,77.06,46.42,48.9
Edna Clemmons,SAPPK,71.38,57.31,48.88
Odessa Lewis,SITHR,66.93,53.49,60.35
Jose Stamm,FTI,100.0,38.87,34.69
Kimberly Harrell,FITB,74.07,37.97,51.06
Charles Stauffer,FTI,86.9,47.62,46.62
Clara Engebretson,FMIPA,35.9,65.68,66.66
Tina Gaietto,FITB,70.97,37.72,41.27
John Lewicki,FMIPA,65.93,45.48,55.39
Edward Hayes,STEI,80.79,51.9,53.6
Melissa Myers,FTTM,71.2,54.55,71.74
Larry Qualls,STEI,95.81,54.26,48.03
Willie Hammond,FTSL,66.77,19.76,39.84
Roslyn Masters,STEI,69.82,51.4,53.89
Michelle Heller,FMIPA,70.92,38.63,48.0
Juana Le,FTMD,65.11,46.8,45.13
William Avila,SITHS,56.13,25.37,35.84
Todd Campbell,SITHR,67.31,52.02,49.73
Esther Mak,FTTM,58.53,35.34,41.02
Edward Shepherd,FTI,60.59,72.18,63.05
Steven Mccoy,FTSL,71.92,46.81,56.43
Kenny Miner,FTSL,56.73,35.96,44.36
Jesus Weber,SITHS,83.53,61.59,53.1
Jennifer Latch,FTTM,73.43,49.23,51.82
Lois Fletcher,FMIPA,65.63,48.2,55.99
Norma Atwood,FMIPA,52.77,65.17,63.45
Nancy Lum,FMIPA,81.74,45.62,52.18
Lashawn Skinner,STEI,77.69,41.87,44.65
Kelly Pina,STEI,88.23,20.21,26.1
James Diggs,FITB,76.73,26.8,46.91
Lauren Thomas,FTSL,46.29,50.29,52.5
Tonia Gray,FMIPA,74.26,55.65,66.16
Roy Saenz,FTSL,64.41,28.52,28.69
Jodi Gil,FITB,65.84,45.2,35.99
Tammy Crane,FMIPA,79.83,53.34,56.34
Carita Jenkins,FITB,63.55,52.16,62.84
Joshua Bembry,FTTM,93.2,46.83,56.74
Virgil Wolfe,FTTM,78.45,54.98,57.34
Douglas Finn,FMIPA,74.22,45.74,59.6
Meghan Ramsey,FTSL,75.32,38.73,38.89
Andrew Steele,FMIPA,58.26,38.46,46.91
Jeffrey Goss,STEI,79.18,38.2,46.88
Hattie Hung,FTI,46.1,42.68,45.46
Tracie Morales,FTI,87.25,49.15,52.65
Javier Thach,FTTM,74.18,50.85,56.74
Robert Golish,STEI,77.18,25.82,38.56
Joan Moran,FTTM,69.65,44.95,52.56
Andrew Ready,SITHR,79.87,31.68,39.7
John Deisher,FTTM,74.1,45.01,55.85
Andrew Carpenter,FTTM,82.76,42.86,46.73
Nell Pendleton,FMIPA,79.46,53.2,48.33
Thelma Staton,FTTM,40.3,36.87,44.39
Albert Yates,SITHS,60.74,33.77,48.28
Karen Terry,FITB,74.43,33.37,35.74
Eileen Mount,FMIPA,54.7,50.43,65.08
Lorraine Frederick,FTSL,73.88,34.87,35.66
Michael Weaver,FITB,48.57,57.64,69.3
Jon Powell,SITHR,79.17,37.95,44.37
Claretha Parker,FTI,62.04,70.13,64.99
Charles Hampton,FMIPA,54.72,44.54,58.32
Carl Smith,SAPPK,80.3,56.35,70.58
Lisa Wyatt,SITHS,55.94,50.69,65.43
Ruben Schneider,FMIPA,55.63,56.69,70.14
Joe Stapleton,FTI,59.57,57.49,67.06
Tabitha Thompson,FMIPA,65.01,28.01,40.82
Barbara Blount,FTI,59.74,26.89,36.27
Perry Wood,SITHR,100.0,35.8,57.04
Dorothy Henrich,FTI,69.8,56.8,58.86
Donna Morris,STEI,76.88,40.89,51.32
Cynthia Priest,SAPPK,74.1,48.2,57.2
Thomas Perez,FMIPA,69.72,49.85,73.33
Erin Robertson,FTI,59.54,37.06,35.42
Loma Elvin,STEI,41.18,81.34,82.6
Brandy Rosenthal,SITHS,71.11,33.89,35.21
Barbara Brown,FITB,71.3,55.67,68.74
Loretta Manuel,FTI,77.03,52.32,59.88
Heidi Hopkins,SAPPK,58.43,55.25,57.47
Rachel Werre,FTI,54.53,47.12,62.71
Laura Meja,STEI,79.88,36.24,44.23
Larry Oneil,STEI,73.04,28.8,34.0
Douglas Stephens,FTMD,64.46,54.47,57.39
Lorraine Menjivar,FTTM,60.69,50.03,55.99
Edith Smith,STEI,58.95,45.55,43.92
Brenda Davin,STEI,75.58,52.04,52.34
Jean Mettlen,FTI,67.57,34.71,36.05
Jessica Martinez,FTI,71.92,31.24,34.59
Antoinette Mcdonald,STEI,68.9,49.24,51.88
Hyo Barnes,SAPPK,96.33,31.09,45.63
Penny Covey,FITB,65.19,51.84,57.24
Juan Pagan,FTSL,74.68,32.03,40.07
Joseph Iddings,FTMD,86.03,50.74,63.14
Ruth Schmidt,STEI,67.46,39.99,59.27
Eric Kelly,STEI,66.36,51.52,61.74
Steven Hibbard,FTSL,81.51,60.25,49.69
Tyler Mason,SAPPK,91.17,33.01,48.06
James Gallagher,FTSL,71.61,37.09,36.98
Richard Gonzalez,FMIPA,77.19,72.27,70.32
Brandon Stewart,FTTM,80.03,51.05,62.71
Dolores Bone,FTMD,57.78,53.13,70.58
Mary Sizemore,FTI,86.89,34.08,25.82
Naomi Bittner,FTSL,64.2,53.88,63.2
Linda Watring,FTSL,88.08,49.87,60.89
Morgan King,SAPPK,47.52,45.92,54.21
Lee Hogan,FTSL,55.51,64.61,58.15
Salvador Blagg,FITB,67.16,65.18,69.89
Helen Tiemann,FTI,66.63,40.66,51.99
Frank Cloutman,FTSL,84.19,55.32,51.04
Richard James,FTTM,71.11,53.05,65.15
Joseph Payne,FMIPA,53.04,37.95,46.32
Lillie Moore,FTSL,86.53,42.9,51.69
Mary Williams,STEI,70.18,41.12,49.04
Daniel Prill,STEI,71.01,26.55,29.58
Aaron Burney,FMIPA,72.75,32.41,43.69
Lauren Burnett,STEI,60.7,31.72,41.49
Thomas Owens,SITHS,80.32,66.55,59.92
Benjamin Oakes,FMIPA,40.04,37.71,43.73
Moises Latson,FMIPA,69.1,52.77,62.73
Ronald West,FMIPA,80.83,53.54,64.89
Virginia Mcqueen,FTI,66.65,57.09,62.94
Diane Dondero,SITHR,80.27,54.75,52.11
Rosemary Szewczyk,FTTM,52.57,43.23,44.18
Scott Tang,FTI,78.93,23.0,35.97
Ronald Graybill,FTI,71.23,56.59,66.51
Paul Kimber,FTMD,75.41,43.22,56.52
Herbert Mcintosh,SAPPK,80.55,35.7,47.19
Peter Romero,FTTM,85.66,39.55,40.23
Barbara Ortiz,FITB,90.36,41.29,53.12
Brandon Cashion,STEI,78.08,39.55,48.18
Samuel Kelleher,FTTM,59.65,66.16,62.21
Christoper Ramirez,FTI,76.4,43.2,46.67
Mark Rodgers,FTMD,78.49,22.37,16.04
Richard Chabez,FTSL,70.46,57.91,61.15
Suzanne Smith,STEI,80.78,45.3,42.35
Melissa Mcaferty,FMIPA,70.11,42.37,39.43
Todd Brown,FMIPA,73.98,57.24,68.87
William Gay,STEI,82.68,31.89,44.81
Debra Bell,SITHS,39.26,58.2,61.17
Wilbur Hall,FTTM,51.14,54.32,55.31
Ronald Olson,STEI,71.16,32.96,52.78
Danny Ortiz,FTMD,73.23,50.03,46.89
Ruth Bias,FMIPA,77.53,62.95,68.02
Thomas Preece,STEI,61.35,32.43,32.07
Justin Cardenas,FTTM,82.58,53.98,48.72
Jennifer Reeves,STEI,100.0,49.33,47.7
Adam Trammel,FTTM,61.34,54.1,62.27
John Ellis,FITB,51.7,32.35,25.18
Matthew Hight,FTSL,61.57,32.1,47.53
Frances Perez,FTMD,54.64,32.2,37.23
Leonard Carpenter,FTI,53.93,27.67,34.57
Steve Ferrini,FITB,42.97,54.43,73.52
David Moody,SITHS,47.25,47.7,55.72
Kimberly Tobin,FTMD,88.7,48.5,58.92
Patricia Claudio,FTMD,68.58,55.83,51.03
Betty Mcneal,STEI,72.88,49.93,52.26
Margarita Cyr,FTMD,52.62,51.93,57.39
Helene Northcutt,FTSL,71.81,43.76,59.3
Wesley Griffin,FTMD,68.16,38.83,41.25
Jessie White,FTMD,78.11,48.03,48.57
Boyd Sanders,FMIPA,66.81,58.97,69.27
Yvonne Nichols,SAPPK,84.0,38.89,48.44
Cynthia Kave,FITB,72.7,58.46,48.62
Edward Chapman,FITB,60.54,49.07,48.56
Kelly Johnson,FTTM,75.76,30.78,35.59
Juan Thames,FTI,82.93,63.09,70.99
Lisa Hardy,SAPPK,75.18,40.42,39.72
James Miles,FTSL,70.32,47.69,45.67
Douglas Clark,STEI,42.16,33.82,48.07
Judith Friley,STEI,75.52,37.11,46.68
Malvina Rose,FTI,90.93,47.21,38.61
Anna Ingram,FMIPA,96.46,46.55,54.07
Martin Cockrell,STEI,64.49,57.4,59.1
Delores Perez,FMIPA,56.19,51.96,61.04
Vickie Esler,FTSL,90.29,48.8,63.23
Agnes Richardson,SITHS,69.62,34.15,46.39
Nelson Jackson,FITB,76.4,47.08,52.96
Richard Mrowka,FTSL,84.2,39.16,46.86
Ralph Smith,FTMD,66.11,59.31,56.0
Margie Henry,FMIPA,48.25,51.33,56.76
Yolanda Steinke,FITB,73.01,48.92,51.58
Mary Turner,STEI,67.59,49.5,57.96
David Sugar,FMIPA,75.19,46.73,57.0
William Snyder,FTI,84.72,53.92,57.41
John Collins,STEI,71.53,49.2,58.55
Anthony Pickert,FITB,62.26,33.08,54.36
Matthew Wardlow,SITHS,65.83,48.81,43.96
Kristina Johnson,FMIPA,57.22,42.43,52.65
Mary Hogeland,FMIPA,63.69,30.86,39.23
Amanda Cerezo,FMIPA,67.76,43.12,51.19
Kelly Bailey,STEI,60.39,30.75,41.4
Dallas Granata,FTSL,57.09,48.14,52.2
Robert Hickman,FTMD,62.79,53.51,54.11
Margaret Hall,FTTM,92.9,47.24,56.84
Gregory Hartman,SITHR,50.31,62.7,67.45
Amanda Schmit,SITHR,81.93,31.68,35.15
Jesse Monahan,FMIPA,86.73,63.8,66.54
Matthew Gray,FITB,80.69,38.78,43.87
Robert Florez,SAPPK,67.4,34.18,38.35
David Rhodes,SITHS,89.29,40.02,52.14
Glenn Schneider,FTI,46.3,55.21,56.94
Sherman Holloway,SITHR,86.87,36.12,36.96
Dorothy Campbell,FTI,66.34,39.27,42.9
Carol Feliciano,FMIPA,53.57,27.88,43.09
Benjamin Dixon,SAPPK,87.31,36.89,37.54
Lawrence Robertson,FTMD,100.0,62.77,59.45
Ernest Kohn,FITB,65.44,53.29,64.23
William Lawson,FTMD,77.06,7.16,18.99
John Munoz,FTSL,69.91,55.82,49.02
Constance Myer,FTSL,91.6,52.83,64.33
Steven Calhoun,STEI,59.91,44.48,52.2
Patrice Dickerson,SITHS,70.05,56.18,65.53
Connie Zuluaga,SAPPK,71.91,50.43,64.28
William Walker,FTMD,90.76,62.33,67.41
Ann Tripp,FITB,75.1,43.67,40.1
Thomas Lauer,FTTM,71.09,35.7,39.4
Dawn Bodkin,SITHR,57.32,44.58,43.89
Glen Sousa,FITB,70.46,40.94,45.22
Patricia Smith,FMIPA,51.28,23.49,45.45
Allan Gilmore,FMIPA,61.51,47.65,51.13
Robert Chambers,FTTM,73.59,52.35,68.16
Joe Ash,FTI,48.9,65.52,65.9
Donald Yurko,FTSL,69.89,46.01,39.55
Kathryn Natoli,FTMD,65.07,33.67,37.83
Scott Nathanson,STEI,79.1,60.3,53.67
Karen Lake,FMIPA,81.57,45.09,51.05
Chad Sparks,SITHR,85.09,29.58,32.58
Diana Sparks,FITB,77.1,52.38,69.56
Debra Vaughan,FMIPA,86.27,49.6,55.3
Jeffrey Battles,FMIPA,57.06,44.73,59.73
Irma Titcomb,FTMD,72.0,52.36,56.17
Linda Gomez,FTTM,81.27,41.81,53.72
Mark Intrieri,SITHR,69.67,34.63,45.03
William Washam,FTTM,62.92,48.49,68.59
Robert Henderson,FTMD,55.56,46.4,50.53
Patricia Davis,FMIPA,70.73,45.6,68.42
Chong Young,FITB,79.15,70.14,73.37
Robert Smith,SAPPK,71.07,62.43,50.89
Robert Peltier,STEI,65.61,67.23,66.04
Will Fish,FTMD,73.91,32.88,32.78
Timothy Young,FTSL,73.39,76.61,78.12
Cynthia Johnson,FTTM,66.31,47.75,47.91
Pasquale Gochenour,FTMD,52.86,41.01,39.46
Angel Horne,FMIPA,97.27,61.55,69.53
Renaldo Newman,FTI,86.01,52.84,51.48
Alyssa Lipton,FMIPA,64.42,30.18,37.06
Fred Deblois,FMIPA,67.75,49.78,53.53
Renee Baxley,FMIPA,77.62,71.64,84.65
Margret Harris,SITHS,71.61,54.1,61.17
Robert Williams,FTI,67.03,39.71,36.73
Stephen Lachance,STEI,62.3,36.52,45.77
Carlos Haase,SAPPK,80.46,67.26,65.89
Dan Jarvis,SITHR,44.85,41.08,51.22
Audrey Okane,FMIPA,45.46,42.19,48.85
Joyce Herring,SAPPK,67.57,46.64,53.51
Chris Mcknight,FTTM,61.22,49.09,52.61
Demetrius Wood,FTSL,56.06,48.97,50.81
Lawrence Catlett,FTI,85.96,54.78,53.01
Patty Batarse,STEI,76.26,50.23,48.06
Margaret Glisson,FMIPA,83.42,56.46,58.41
Kevin Urmeneta,FTSL,75.48,57.45,62.12
Vanessa Hoffman,FTI,80.76,38.1,52.17
Laura Summers,FTSL,60.22,38.82,49.91
Paula Mutter,FTSL,90.23,59.51,58.81
Anthony Stanford,FTMD,85.99,48.02,69.31
Steven Brayboy,FITB,93.93,33.46,43.0
Johnnie Smith,STEI,61.07,38.63,37.56
Seth Payne,FITB,75.36,42.01,50.28
Kelly Kertis,STEI,57.14,43.75,53.3
Jean Quevedo,FTSL,62.18,57.71,64.31
Gabriel Mccard,FTTM,88.46,29.89,36.47
Sheri Thomas,FMIPA,81.47,26.08,29.63
John Mckinzie,FTI,20.0,33.74,40.58
Jessica Poyer,FTMD,58.87,43.92,51.08
Ross Fess,FTI,90.14,29.58,33.46
Barbara Case,SITHR,78.16,53.32,64.15
Mary Tapp,FTSL,59.49,42.52,53.79
Bill Thoburn,FITB,72.19,38.36,36.74
Marshall Leonard,FTMD,77.81,51.89,61.93
James Rodriguez,SITHR,67.46,43.63,43.17
Toby Hebert,STEI,68.96,34.94,46.07
Patti Nolan,FTI,67.94,71.38,77.33
Joseph Peterson,FTI,86.66,38.62,58.24
Marion Miller,FTSL,61.65,57.05,69.17
Ashley Duncan,FTSL,49.17,55.45,59.27
Janell Mchugh,FTSL,79.99,32.91,38.5
Brandon Stancil,FTTM,64.73,40.65,36.56
Tami Bell,FITB,62.18,46.58,51.34
Bettye Leth,FTI,72.15,59.6,61.23
Angela Price,FMIPA,89.68,38.77,42.39
Tina Mortensen,STEI,76.46,29.69,40.2
Ernest Larson,FTMD,51.88,50.26,53.38
Brent Neal,SAPPK,62.16,43.5,68.62
Tatum Cacciotti,STEI,60.29,34.61,56.86
Cornelia Daniel,SAPPK,65.39,52.52,52.86
Kathleen Sonoski,STEI,70.18,39.59,45.17
Kelly Jacobs,FTI,88.89,30.47,49.69
William Geis,FMIPA,50.35,43.42,50.9
Woodrow Taylor,FTI,73.68,54.86,54.75
Gail Burton,FTMD,72.2,58.89,57.85
Anton Leavy,FTSL,47.27,32.68,46.99
Stacey Costello,SITHS,86.87,35.67,52.08
Michael Kuehn,SITHR,59.04,38.15,48.17
Wendy Huizar,SAPPK,74.01,39.31,54.19
Patrick Dubiel,STEI,71.4,45.74,65.41
Leonard Kosco,FTSL,62.6,36.67,47.67
Scott Kincaide,SITHS,88.5,36.04,54.01
Letha Baichan,STEI,69.82,58.47,71.87
Pearl Lowrey,FTI,67.89,59.52,61.79
Florence Rushing,FTMD,62.52,38.32,53.04
Teresa Lewis,FTMD,87.56,45.81,51.45
Irma Hammond,FTI,77.93,19.69,36.14
Herman Houpe,FTTM,60.33,34.49,35.44
Christopher Delariva,FMIPA,76.75,31.57,44.93
James Drake,FTSL,41.79,38.63,40.55
Robert Green,FTMD,52.72,27.37,32.55
Rosemary Mcginness,SAPPK,92.13,50.07,48.16
Faith Banks,FTSL,86.08,57.07,55.52
Mohammed Adams,STEI,67.11,46.95,61.52
Charles Straugter,FTTM,68.94,52.28,49.97
Breann Wiggs,FTTM,87.35,37.68,48.58
Lisa Navarro,FTI,78.02,45.18,39.35
Shannon Peebles,STEI,63.54,40.08,48.75
Kaley Young,STEI,67.01,60.33,57.24
Jenifer Beaumont,FTTM,59.8,53.53,56.08
Julie Nelson,STEI,59.26,39.48,35.04
Ruben Shoaff,FTTM,74.33,46.68,53.4
Linda Shipman,STEI,51.48,24.11,31.28
Patrick Agnew,FTSL,72.02,31.04,58.89
Mary Dunbar,STEI,80.39,48.06,56.64
James Cunningham,STEI,82.02,56.66,53.58
Woodrow Bright,FTMD,100.0,54.38,76.41
Dolores Wood,FITB,82.73,37.99,35.78
Betty Jones,FTI,75.25,53.75,43.28
Linda Kruse,FTI,58.44,60.96,62.77
Scott Sorensen,FITB,71.88,47.73,48.44
Michael Shull,FTI,63.36,25.14,38.14
Russell Soria,FTI,68.8,52.07,59.65
Mira Arreola,FITB,62.1,50.02,54.22
Pamela Luther,SITHS,82.76,38.92,51.32
Suzette Arriaga,FTTM,52.33,46.84,59.68
Brenda Thurmond,SITHR,74.49,56.21,69.3
Stacey Mack,FTTM,65.94,48.77,50.8
Michael Snyder,FITB,68.55,27.01,39.14
Daniel Thornton,FTI,68.49,22.12,34.73
Dorothy Dupree,FMIPA,97.8,57.03,58.5
Raymond Fisher,STEI,68.75,60.81,41.02
Lisa Sims,FMIPA,92.18,39.21,45.01
Timothy Yeadon,FTMD,56.74,40.76,48.25
Edward Mattice,FMIPA,72.37,34.06,45.8
Cheryl Howard,FTSL,67.73,44.54,62.17
Carmen Woolf,SITHR,38.38,29.15,36.21
Lillian Crosby,FTTM,95.78,47.17,48.26
Jimmy Sanchez,FTTM,88.75,46.48,45.53
Paulette Wellman,FTI,74.55,51.49,59.16
Michelle Taylor,SAPPK,97.85,33.69,33.0
Lois Moore,FTMD,59.15,65.13,59.62
Gladys Schempp,FMIPA,71.47,42.8,52.9
Lisa Nunez,STEI,70.75,63.49,67.03
Judith Bass,FTI,83.28,38.61,57.28
Johnny Lewis,FTI,68.8,30.85,53.77
Doreen Thompson,STEI,65.23,31.53,29.83
Louis Suzuki,FTTM,62.78,38.9,47.43
Robert Anderson,SITHR,64.99,37.77,57.04
Judith Neely,FMIPA,73.25,47.11,70.44
Alvin Watson,SITHS,56.17,57.68,55.18
Christopher Ballew,FITB,75.39,61.0,67.55
Percy Hargrove,SITHS,48.04,41.81,50.56
Ricky Hochstatter,SAPPK,66.23,65.35,55.38
Christine Sammer,FTI,90.43,56.25,70.42
Jessie Lafleur,FTMD,77.66,19.31,37.15
Jerica Goldfeder,FITB,80.77,46.69,65.55
Nancy Charleston,FTI,40.49,41.71,48.63
Stephen Timms,STEI,57.01,54.63,63.14
Hilary Harris,FTTM,85.95,34.69,38.12
Charles Lyons,SAPPK,81.52,38.34,46.24
Joe Crockett,FTTM,49.84,32.71,41.16
James Jackson,FTI,81.18,55.65,53.85
Wanda Cousin,STEI,84.25,63.09,66.34
Chad Hubbard,STEI,61.36,52.54,48.83
Alberta Honeycutt,STEI,58.73,44.69,47.63
Terry Smith,FTSL,96.34,70.87,78.52
Meredith Daily,FTI,55.28,59.8,65.97
Robin Gantt,STEI,81.74,56.46,71.02
Richard Patterson,FTSL,43.6,40.72,56.23
Erin Mckay,FTMD,81.35,44.83,67.09
Santos Gomez,FTTM,68.26,51.13,64.17
Maria Tabb,FMIPA,88.68,48.7,50.6
Nickole Green,SAPPK,61.46,38.08,45.06
Eric Napier,FTI,66.54,40.9,42.34
Mary Morris,FMIPA,76.73,53.86,59.3
Richard Lewis,FTTM,46.42,58.66,71.73
Dina Martinez,SAPPK,61.23,62.75,71.4
Brenda Bechtold,SAPPK,61.17,60.74,72.52
Micki Salazar,FTI,75.2,47.97,50.15
Joseph Williamson,SITHR,88.54,50.06,63.61
Todd Sullivan,STEI,85.09,54.11,70.16
John Smith,FTMD,47.42,29.33,36.07
Gloria Campbell,FMIPA,90.77,42.28,50.98
Rose Petersen,FITB,57.86,37.86,45.85
Joseph Putnam,FTSL,86.97,39.88,43.56
Stephen Macmillan,FTTM,60.26,41.45,56.24
Marla Henderson,FMIPA,58.43,27.92,29.53
Lynda Stickler,FTTM,70.94,46.49,63.85
Edith Jordan,FTTM,74.23,33.96,33.41
Juan Osorno,FTTM,63.07,39.27,56.27
John Dellinger,FTI,70.08,50.5,61.43
Sean Johnson,FTTM,46.62,54.41,62.23
Stanley Catano,STEI,56.71,46.7,45.7
Steven Basta,STEI,65.88,54.82,67.87
Jeff Brooks,FTMD,100.0,33.94,45.53
Charles Ahlman,STEI,68.45,41.69,43.86
Carole Sedrakyan,FTTM,92.81,31.5,46.16
Trudy Gilbert,FTMD,84.81,41.21,45.2
Lucy Gholson,FTSL,57.52,39.88,54.56
Robert Benigno,FTI,69.06,33.01,49.54
Alvin Siu,FTMD,77.38,50.86,59.38
Larry Cash,FTTM,96.4,18.18,30.47
Jeremiah Alicea,FTTM,54.77,44.99,52.25
Daniel Hunt,STEI,68.64,39.1,49.79
Kenneth Wray,FTMD,54.44,46.51,54.78
Susan Tracy,SAPPK,50.39,35.49,44.17
Wilbur Weaver,FTSL,48.25,53.13,65.2
Carl Gray,FTI,85.35,33.08,33.85
Carl Rameau,SAPPK,65.66,55.82,60.82
