nama,alamat,tempat_lahir,phone_number,tanggal_lahir,ipk,tanggal_daftar
"Genta Namaga, S.I.Kom",Gang Abdul Muis No. 3,Singkawang,085 052 3415,1981-11-19,3.32,2023-02-11
Yunita Nasyidah,Jl. Pasteur No. 14,Langsa,+62-41-491-9954,1978-06-20,3.54,2019-07-28
Panca Wibisono,Gang Medokan Ayu No. 2,Bengkulu,+62 (044) 089-5463,1963-11-09,2.93,2019-11-07
Gantar Hutagalung,Gg. H.J Maemunah No. 258,Singkawang,+62 (197) 537-1565,1983-06-29,3.25,2020-02-23
"H. Galak Simbolon, M.Pd",Gg. Sukajadi No. 6,Kota Administrasi Jakarta Selatan,087 718 0542,1986-08-31,2.48,2022-10-03
Olivia Haryanto,Jl. Joyoboyo No. 7,Salatiga,086 442 0682,1973-06-17,2.54,2021-11-12
"Dr. Empluk Nuraini, S.Pt",Jalan Kebonjati No. 8,Bitung,+62 (098) 326 6799,2002-01-27,3.18,2023-02-10
Hj. Paris Saragih,Gg. Bangka Raya No. 59,Sabang,+62-0883-441-1805,1982-07-27,2.52,2020-10-28
Cahyo Usamah,Jl. Medokan Ayu No. 2,Malang,082 927 4485,1987-05-31,2.48,2019-04-25
Banawi Kuswoyo,Jl. Moch. Ramdan No. 64,Sabang,+62 (091) 971 1542,1969-10-12,2.48,2021-09-22
Nurul Nababan,Gg. BKR No. 997,Ambon,(020) 903-0439,2001-10-31,3.16,2021-08-25
"Hj. Indah Wastuti, M.Kom.",Gang Merdeka No. 5,Pekalongan,(003) 294 7163,1969-04-17,2.39,2022-07-29
Virman Rahayu,Jalan Rajawali Barat No. 832,Pasuruan,(062) 735-9818,1998-06-07,2.35,2021-01-07
Panji Novitasari,Gang M.H Thamrin No. 62,Surabaya,(056) 447-8357,1998-10-18,2.41,2022-11-29
R. Ade Rajata,Jl. Setiabudhi No. 6,Balikpapan,+62 (54) 896-5352,1974-11-06,2.61,2022-03-22
Mustofa Pangestu,Gang Monginsidi No. 215,Kota Administrasi Jakarta Utara,(083) 485 3578,1984-11-17,2.5,2021-11-08
Reksa Irawan,Jalan Jend. Sudirman No. 046,Palembang,+62 (04) 284-2011,1976-10-10,2.39,2022-11-02
Rachel Pratama,Jalan Sadang Serang No. 982,Tegal,+62-05-076-3862,1973-02-22,2.39,2018-12-02
"Ir. Asmuni Rajata, S.Gz",Gang Pelajar Pejuang No. 989,Palangkaraya,+62 (073) 882-9775,1996-05-28,3.38,2022-01-12
"Tgk. Hafshah Habibi, S.IP",Gang Ciwastra No. 043,Yogyakarta,+62 (594) 871-3289,1977-05-11,3.22,2021-01-04
"Pardi Nugroho, S.Gz",Jalan Setiabudhi No. 86,Palopo,(007) 834-5254,1983-02-19,2.25,2020-01-20
Sadina Winarno,Jl. Cikutra Timur No. 53,Yogyakarta,+62 (098) 794 6625,1976-10-14,2.25,2019-10-22
Waluyo Hartati,Jl. BKR No. 2,Kediri,+62 (087) 111 8483,1963-07-02,2.2,2018-08-11
dr. Irnanto Hutasoit,Jl. Kutisari Selatan No. 693,Tual,+62-80-791-5856,1980-07-06,2.15,2018-08-30
Icha Safitri,Gang Tebet Barat Dalam No. 6,Parepare,+62 (50) 091-2275,1967-04-01,1.83,2019-06-07
"R.A. Fitria Winarsih, S.Psi",Jl. Jayawijaya No. 531,Ternate,+62 (058) 293 8731,1988-12-06,2.05,2022-03-28
"Dr. Kasusra Pranowo, M.TI.",Gang Wonoayu No. 1,Sawahlunto,+62 (85) 309 5522,1986-04-05,0.9,2020-07-17
R. Vivi Wibisono,Gg. Antapani Lama No. 06,Tidore Kepulauan,+62 (76) 749 9372,2000-04-13,1.62,2021-02-16
Marsudi Wulandari,Jalan Kendalsari No. 47,Parepare,(094) 659 8169,1975-10-02,2.25,2020-04-29
R. Asirwanda Wijayanti,Gang R.E Martadinata No. 511,Makassar,+62-034-337-2419,1996-02-20,2.68,2021-05-24
Reza Narpati,Gg. Rawamangun No. 868,Pematangsiantar,+62 (0855) 205-9415,1983-11-24,3.02,2022-01-14
Karma Damanik,Gang Lembong No. 477,Pekanbaru,+62 (960) 229-4913,1977-02-13,1.96,2019-10-31
"Harjaya Padmasari, M.Farm",Jalan M.H Thamrin No. 237,Kota Administrasi Jakarta Pusat,+62 (37) 809-5675,1984-11-10,2.56,2019-08-16
Rahmi Sudiati,Gang Tubagus Ismail No. 72,Purwokerto,(068) 245-4756,1988-01-30,2.66,2021-12-02
Paramita Siregar,Gang Sadang Serang No. 91,Banjar,+62 (016) 076 8884,1990-09-28,3.25,2019-05-24
Sutan Laksana Wibowo,Gang S. Parman No. 5,Tomohon,+62 (27) 400-9793,1982-05-16,3.25,2020-09-25
Drs. Sakura Utama,Jl. KH Amin Jasuta No. 911,Kota Administrasi Jakarta Pusat,0826088151,1976-01-19,3.58,2022-06-06
Ilyas Salahudin,Jl. Setiabudhi No. 2,Parepare,+62 (15) 918 9211,1990-10-30,3.42,2018-11-11
"Sutan Langgeng Prasasta, S.Pd",Gang Rajawali Timur No. 89,Kendari,+62 (666) 085-0634,1973-12-18,3.5,2022-12-19
"dr. Qori Utama, M.Farm",Gang Cempaka No. 82,Batam,(086) 087-9812,1990-08-03,3.45,2018-12-26
"Cindy Saragih, M.Ak",Gg. Gardujati No. 5,Banjar,+62-028-480-0098,1976-10-15,3.2,2022-07-12
"Cut Hesti Kurniawan, M.Kom.",Jalan Pasirkoja No. 74,Makassar,(0314) 116 9105,1981-12-21,3.71,2018-07-19
Drs. Harto Mahendra,Jalan Tebet Barat Dalam No. 984,Metro,+62-057-175-5241,1999-09-19,3.25,2021-04-17
Halima Siregar,Gang Jamika No. 7,Banjarbaru,+62 (84) 886 9211,1963-05-29,3.29,2019-11-22
"Carla Saefullah, M.Ak",Gang R.E Martadinata No. 80,Samarinda,+62 (025) 132 6141,1976-01-01,3.55,2021-04-19
"Kanda Hidayat, M.Ak",Jalan Cikutra Timur No. 38,Pangkalpinang,0837656179,1981-04-27,3.46,2020-01-30
"dr. Ratih Firmansyah, M.M.",Jalan Soekarno Hatta No. 191,Tebingtinggi,0820580360,1985-02-05,3.61,2020-05-27
Dr. Titin Puspasari,Jl. Setiabudhi No. 43,Kota Administrasi Jakarta Barat,+62 (0436) 710 2997,1983-05-25,3.42,2021-07-21
"drg. Ulva Nasyiah, S.Farm",Gang K.H. Wahid Hasyim No. 9,Sukabumi,083 055 5182,1983-03-14,3.52,2023-03-12
Martaka Susanti,Gang K.H. Wahid Hasyim No. 406,Pariaman,+62-472-349-3628,1977-07-29,3.45,2019-04-03
"Sutan Samsul Riyanti, M.TI.",Gang Moch. Toha No. 5,Bengkulu,+62 (64) 599-6060,2001-12-09,2.93,2022-12-20
Febi Uwais,Gg. Jakarta No. 40,Sorong,+62 (0798) 745 0224,1967-03-25,3.64,2021-07-01
"Puti Intan Simanjuntak, S.Gz",Jl. Cikutra Barat No. 40,Cirebon,+62 (37) 627 7736,2001-01-07,3.02,2020-04-05
"dr. Wasis Utami, S.T.",Gg. Cikutra Timur No. 83,Tasikmalaya,+62-52-987-1418,1974-05-21,3.22,2020-06-29
Tira Tarihoran,Gg. Cikutra Barat No. 1,Batam,+62-092-333-2644,1974-10-23,3.61,2022-06-04
"Tgk. Mutia Kusmawati, S.E.",Gang Jakarta No. 01,Sawahlunto,+62 (0819) 841-6640,1983-06-01,3.43,2023-03-06
"dr. Winda Tamba, S.I.Kom",Jalan Tubagus Ismail No. 3,Pontianak,(068) 114 7655,1975-01-06,3.59,2022-09-18
Nilam Zulkarnain,Gang Rajiman No. 5,Tidore Kepulauan,+62 (59) 719 2338,1989-07-12,3.09,2019-05-16
"Bakidin Kuswandari, S.H.",Gang Asia Afrika No. 6,Banjarbaru,0814777110,1973-03-31,3.41,2018-09-18
Dr. Nasrullah Yuniar,Gg. Abdul Muis No. 79,Kota Administrasi Jakarta Selatan,+62 (17) 268 4075,1985-06-04,3.43,2022-09-06
Almira Wijaya,Jalan Jend. Sudirman No. 7,Bandar Lampung,+62 (31) 392 1805,1990-09-30,3.14,2022-03-27
Kambali Kusumo,Jl. Astana Anyar No. 42,Surabaya,086 046 4168,1964-06-16,3.68,2023-01-30
dr. Carla Hidayat,Jl. Cihampelas No. 2,Ambon,+62 (18) 582-4336,1998-01-30,3.45,2018-09-26
"dr. Paris Haryanto, M.Farm",Jalan HOS. Cokroaminoto No. 28,Denpasar,+62-09-937-8353,2000-08-21,3.66,2021-08-05
R. Ika Kusmawati,Gg. Sukajadi No. 3,Kota Administrasi Jakarta Timur,+62 (080) 881-2537,1988-06-26,3.57,2020-09-11
Prayitna Latupono,Gang Wonoayu No. 613,Tangerang Selatan,+62-756-554-5108,2000-12-30,3.59,2019-09-18
Yuliana Halimah,Gg. Yos Sudarso No. 245,Makassar,+62 (055) 260 8335,1993-09-22,3.5,2019-10-04
Drs. Rika Pudjiastuti,Jl. Raya Ujungberung No. 258,Batam,(050) 897 9564,1967-11-08,3.61,2019-01-30
Drs. Ira Siregar,Jl. Tebet Barat Dalam No. 02,Pematangsiantar,+62 (022) 409-5555,1963-06-03,3.64,2019-10-16
Bajragin Sitorus,Gang K.H. Wahid Hasyim No. 09,Payakumbuh,(0060) 805 9723,1970-07-20,3.57,2019-06-07
Yulia Manullang,Jl. Rumah Sakit No. 1,Tarakan,+62 (95) 413 1272,1964-09-17,3.59,2019-06-26
"Irma Natsir, M.Pd",Gg. W.R. Supratman No. 21,Kota Administrasi Jakarta Utara,(008) 922 5206,1971-11-21,3.57,2020-06-30
"Belinda Oktaviani, M.TI.",Gg. Bangka Raya No. 50,Magelang,+62 (212) 191-6860,1969-01-09,3.57,2021-04-02
"T. Danang Hardiansyah, S.Sos",Gang Rumah Sakit No. 2,Pangkalpinang,084 498 7008,1991-03-21,3.8,2021-12-25
Cut Cinta Widodo,Gang Pasirkoja No. 87,Ambon,+62 (054) 244 6644,1989-08-27,3.7,2018-06-18
Pangestu Maulana,Gg. Raya Ujungberung No. 18,Bengkulu,086 186 0313,1980-03-25,3.2,2019-11-22
Sabri Habibi,Jl. Ahmad Dahlan No. 6,Sawahlunto,(0038) 472 1312,1963-09-28,3.3,2019-05-11
Drs. Zulfa Puspasari,Jl. Ronggowarsito No. 900,Tangerang Selatan,(096) 143-1141,1973-03-07,2.4,2022-02-06
Manah Situmorang,Gang PHH. Mustofa No. 2,Kediri,+62 (002) 097-0561,1982-10-15,3.55,2020-08-09
"Emil Saefullah, S.H.",Jalan Kutisari Selatan No. 5,Surakarta,+62 (089) 120-1254,1970-12-18,3.27,2021-09-15
Yuliana Anggriawan,Jalan Gegerkalong Hilir No. 0,Parepare,+62 (600) 160-6993,1972-11-08,3.66,2019-06-13
Kala Hidayat,Jl. Suniaraja No. 0,Kota Administrasi Jakarta Timur,+62-0553-457-6918,1973-01-07,3.15,2021-09-29
Wawan Andriani,Jalan Rajiman No. 14,Singkawang,+62 (397) 472 3489,2000-06-26,3.7,2022-05-06
Tgk. Bancar Wibowo,Jalan Kapten Muslihat No. 774,Magelang,089 733 9125,1972-08-13,3.5,2020-09-24
Limar Lazuardi,Jl. Rajiman No. 213,Batam,+62 (422) 478 8467,1992-12-23,1.88,2019-03-18
"Tgk. Karen Safitri, S.Sos",Jalan Ahmad Yani No. 17,Makassar,+62 (035) 890 5280,1968-06-22,3.57,2021-05-28
"Winda Laksita, M.Ak",Jalan Merdeka No. 317,Pasuruan,+62 (742) 570 1970,1974-10-22,2.92,2022-12-14
"Drs. Yance Permata, S.E.I",Jl. Ciwastra No. 138,Tangerang,+62 (0974) 533 1304,1979-01-05,3.5,2022-08-22
R.A. Endah Pratiwi,Jalan Surapati No. 48,Kotamobagu,+62 (43) 347-8885,1975-08-22,3.48,2020-04-23
Gawati Wahyuni,Gg. Moch. Toha No. 05,Sungai Penuh,+62-123-414-4496,1983-04-28,3.57,2018-09-20
Wirda Pratiwi,Jalan Laswi No. 0,Parepare,+62 (30) 291 5461,1974-06-06,2.95,2022-04-14
Unggul Natsir,Jl. Pasir Koja No. 5,Jambi,(080) 146-5748,1973-05-17,2.48,2022-09-20
"Ani Pradana, S.Psi",Jalan Cihampelas No. 654,Meulaboh,+62 (53) 651-1503,2001-09-08,2.78,2021-09-06
Mustofa Wahyudin,Jalan Laswi No. 712,Madiun,(073) 589-8780,1975-08-03,3.61,2020-05-14
Dr. Bakiono Permadi,Gg. Kutai No. 658,Magelang,+62-53-915-2321,1980-02-22,3.05,2020-09-17
Baktianto Aryani,Gang Astana Anyar No. 8,Tanjungpinang,+62-066-968-5696,2000-07-06,3.06,2022-10-27
Ian Firmansyah,Jl. BKR No. 41,Sawahlunto,+62 (0688) 483-9145,1979-05-31,3.11,2022-10-16
Ciaobella Pangestu,Jalan Waringin No. 5,Salatiga,+62 (54) 121-3245,1998-09-22,3.16,2020-07-18
Nasrullah Simanjuntak,Jalan KH Amin Jasuta No. 3,Kota Administrasi Jakarta Selatan,+62-086-148-6239,1999-11-16,3.16,2021-11-24
H. Prabu Suwarno,Jl. Abdul Muis No. 8,Bima,+62-437-477-4176,1979-02-16,2.34,2021-01-09
"Ir. Yoga Pradipta, S.T.",Jalan Pelajar Pejuang No. 865,Denpasar,+62 (098) 880 3490,1976-12-07,3.34,2021-03-14
Dadap Ardianto,Jalan Kutisari Selatan No. 5,Mojokerto,+62-60-652-0548,1975-07-14,3.39,2022-07-07
Dono Marbun,Jalan Gedebage Selatan No. 795,Samarinda,+62 (0685) 343 5730,1964-05-20,3.43,2018-09-14
"R.M. Harimurti Utama, S.Sos",Jalan Cikapayang No. 9,Cilegon,+62 (040) 536-8483,1966-07-16,3.67,2019-05-07
Darsirah Hasanah,Jalan Otto Iskandardinata No. 1,Bima,+62-029-439-4844,1980-11-20,3.39,2019-12-08
Galuh Widodo,Jalan Cihampelas No. 7,Palu,+62 (39) 567-3630,1986-09-23,2.93,2018-09-17
Sabrina Pratiwi,Gang Jend. Sudirman No. 1,Malang,+62 (049) 155 6418,1989-08-06,3.61,2020-03-29
"Imam Zulkarnain, S.Pt",Gang Ciumbuleuit No. 224,Sawahlunto,+62 (0919) 104-1025,1998-07-28,3.16,2021-04-27
"Tgk. Victoria Widiastuti, M.Farm",Jalan Rungkut Industri No. 23,Depok,+62-612-318-0120,2002-12-31,3.32,2021-12-07
"Viktor Sinaga, S.Gz",Gg. K.H. Wahid Hasyim No. 7,Sawahlunto,+62 (0637) 284 5933,1999-09-01,2.98,2021-06-25
Kayla Ramadan,Gg. M.T Haryono No. 3,Subulussalam,+62 (0254) 304-0782,1983-07-24,3.39,2022-09-04
Panca Rahayu,Jl. Dipenogoro No. 6,Sabang,+62-85-905-9932,1968-04-28,3.41,2019-02-11
"Halima Iswahyudi, S.H.",Gang Peta No. 3,Palopo,+62 (86) 030 4765,1996-03-02,3.5,2020-07-07
Rahmat Wahyudin,Jalan Peta No. 64,Pariaman,+62 (0736) 571 5101,1995-11-16,3.45,2019-09-02
Karman Manullang,Gang H.J Maemunah No. 9,Serang,(072) 272-2489,1965-02-14,3.34,2019-07-01
Karya Wijayanti,Gg. Sukajadi No. 4,Medan,0885213433,1998-08-11,3.36,2021-01-21
Lanjar Suartini,Gg. Stasiun Wonokromo No. 243,Sungai Penuh,+62 (0193) 160-6931,1963-07-17,3.34,2018-08-06
Kamal Prayoga,Gg. Ir. H. Djuanda No. 6,Dumai,(0964) 865-2167,1970-02-08,3.34,2019-01-31
Baktiono Ramadan,Jl. Cempaka No. 7,Medan,+62-080-293-5081,1990-12-28,3.23,2019-03-18
"Kasiyah Dabukke, M.M.",Gg. HOS. Cokroaminoto No. 029,Bandar Lampung,(007) 120 3832,1982-08-14,3.48,2020-10-08
Nadia Nurdiyanti,Jl. Veteran No. 22,Bukittinggi,(018) 413-2253,1979-03-02,3.11,2022-07-10
"T. Caturangga Hassanah, S.IP",Jl. Indragiri No. 8,Kediri,+62 (34) 851 2216,1973-12-27,3.68,2018-10-12
Dipa Sitompul,Gg. Jend. A. Yani No. 16,Banjarbaru,084 238 4257,1983-10-22,3.2,2022-11-09
Yance Megantara,Jalan Tebet Barat Dalam No. 7,Tanjungpinang,+62-005-924-3704,1987-12-08,3.27,2018-08-19
Dt. Oskar Firmansyah,Jalan Bangka Raya No. 721,Gorontalo,080 772 1148,1977-09-06,3.2,2019-11-18
"H. Jagaraga Zulkarnain, S.Gz",Jl. Cikutra Barat No. 93,Palopo,(0935) 670-9172,1977-04-07,3.57,2018-08-20
"Dr. Cornelia Ardianto, S.Pd",Gang Indragiri No. 968,Tanjungbalai,+62 (0760) 582 4942,1998-02-24,3.34,2022-06-06
"Hj. Puput Anggraini, S.Pd",Jl. KH Amin Jasuta No. 5,Dumai,+62-095-374-6122,1973-02-11,3.39,2023-03-16
Gandi Widiastuti,Jalan Peta No. 2,Gorontalo,+62 (12) 506-5317,1990-03-08,3.7,2022-03-20
Alika Nainggolan,Gang Asia Afrika No. 5,Kota Administrasi Jakarta Utara,+62 (16) 000 8163,1963-09-01,1.9,2023-03-04
"H. Candrakanta Narpati, S.E.",Gg. Lembong No. 902,Meulaboh,+62 (021) 728 5331,1969-10-16,3.16,2018-12-03
Genta Rahayu,Gang Pacuan Kuda No. 95,Cilegon,+62 (403) 821 8073,1984-03-30,3.23,2019-01-29
Mahfud Hidayat,Jalan Kapten Muslihat No. 8,Gorontalo,+62-090-991-4222,1976-12-08,3.45,2023-03-21
dr. Putri Salahudin,Gang Kutai No. 1,Cilegon,+62 (591) 661 2202,1970-01-24,3.35,2019-07-22
"R. Dodo Megantara, S.IP",Jalan Peta No. 27,Cirebon,+62 (013) 985 6232,1982-04-26,1.18,2018-10-15
Silvia Irawan,Jalan Siliwangi No. 2,Sukabumi,(050) 893 7804,2002-08-22,3.55,2019-08-18
Shania Sihombing,Jalan Kapten Muslihat No. 65,Bukittinggi,+62 (13) 160-4842,1972-06-22,3.55,2018-10-12
Usyi Padmasari,Jalan Gedebage Selatan No. 092,Tidore Kepulauan,+62-541-801-2683,1980-12-02,3.48,2019-12-02
Salwa Simanjuntak,Gang Jayawijaya No. 1,Cirebon,+62-223-383-2551,1996-03-24,3.43,2021-05-08
Laswi Astuti,Jl. Waringin No. 06,Pagaralam,085 828 1186,1979-10-24,3.3,2022-01-23
Bagas Sinaga,Jalan Ciwastra No. 749,Pagaralam,+62 (873) 397 8057,1964-06-16,3.44,2020-12-26
Jelita Tamba,Gang K.H. Wahid Hasyim No. 94,Pagaralam,+62 (0756) 233 1935,1981-01-27,3.5,2020-04-29
"Karya Wahyudin, S.Pt",Gg. Cihampelas No. 940,Kupang,+62-43-694-1891,1999-06-27,1.96,2023-02-03
Irma Thamrin,Jalan Jend. Sudirman No. 668,Sibolga,(0384) 990-4631,1977-06-24,3.34,2020-03-31
Cagak Uyainah,Jl. Cihampelas No. 803,Singkawang,(0556) 654-5862,2000-04-03,3.36,2022-07-15
Adiarja Firgantoro,Gang Sukabumi No. 712,Semarang,+62-060-024-0017,2003-04-20,3.25,2022-06-25
Dr. Nyoman Jailani,Gang Stasiun Wonokromo No. 218,Madiun,+62 (0253) 417-1839,1977-03-24,3.45,2021-06-28
Vanya Rahayu,Jl. Stasiun Wonokromo No. 2,Bandar Lampung,+62 (011) 157 3090,1989-01-14,3.7,2020-03-25
Dr. Salsabila Rahimah,Jl. Pasteur No. 057,Bekasi,+62 (0912) 957-1656,1980-07-13,3.64,2022-04-24
"Drs. Darijan Saragih, S.IP",Gg. BKR No. 140,Tanjungbalai,+62-008-147-4831,1994-09-21,3.57,2022-11-16
"R.A. Dalima Yulianti, S.E.I",Gang Ahmad Dahlan No. 2,Banda Aceh,+62 (0219) 366 3934,1981-08-07,3.14,2020-09-22
Tiara Damanik,Jl. Laswi No. 7,Tarakan,+62 (27) 503 3330,1975-01-10,3.08,2019-01-22
Puti Siti Januar,Jalan Sentot Alibasa No. 050,Ternate,+62 (040) 053-3202,2002-06-28,2.73,2021-09-21
Yulia Kuswandari,Jalan Bangka Raya No. 902,Batam,(0745) 934-7566,1975-04-18,3.48,2021-11-07
Raden Jailani,Jalan Rajawali Barat No. 4,Balikpapan,081 193 9147,1985-01-14,3.51,2020-08-13
dr. Carla Wahyuni,Gang Raya Setiabudhi No. 497,Tasikmalaya,+62 (873) 397-9667,1975-11-02,3.46,2023-02-28
Lili Safitri,Jalan Wonoayu No. 46,Prabumulih,0870771893,1994-10-29,3.43,2018-06-20
Purwa Simbolon,Jl. Bangka Raya No. 3,Kendari,0800799473,1984-12-30,3.59,2019-04-15
Darmana Waskita,Gang Ciwastra No. 30,Prabumulih,+62-642-513-8946,2000-01-22,3.43,2019-03-08
Gina Suartini,Jalan Kebonjati No. 81,Probolinggo,(033) 864 9366,1977-04-04,3.72,2020-08-24
H. Caturangga Tarihoran,Jalan Pasteur No. 96,Bitung,+62 (01) 600-4299,1998-08-19,3.61,2021-07-01
Dt. Bagas Sihombing,Jl. PHH. Mustofa No. 34,Denpasar,(0256) 172-0976,1979-04-25,3.31,2019-12-04
Samsul Rajata,Gg. Pelajar Pejuang No. 87,Tidore Kepulauan,+62 (099) 089 1011,1971-02-09,3.68,2022-12-01
Carub Suartini,Jl. Otto Iskandardinata No. 543,Denpasar,0808654671,1991-12-10,3.49,2020-04-22
Kanda Wacana,Jalan HOS. Cokroaminoto No. 894,Palu,+62 (0671) 547 0220,1988-01-02,3.56,2023-05-07
Radit Aryani,Gg. Kutai No. 148,Tidore Kepulauan,(0647) 051 3598,1972-01-08,3.13,2022-05-30
Bambang Suryatmi,Jalan Abdul Muis No. 2,Banjar,+62 (0097) 323 1753,1988-02-07,3.42,2020-12-18
Raden Sihombing,Jl. Astana Anyar No. 759,Kota Administrasi Jakarta Pusat,+62 (15) 514 3497,1987-12-23,3.54,2018-10-12
T. Maryanto Mandasari,Gang Pelajar Pejuang No. 30,Tidore Kepulauan,+62 (0522) 976-4665,1967-03-12,3.44,2023-01-15
"Prayogo Rajata, S.E.I",Gang Gardujati No. 73,Purwokerto,+62 (22) 788 4754,1980-03-03,3.64,2021-06-23
"Paramita Wacana, S.Farm",Gg. Abdul Muis No. 639,Kota Administrasi Jakarta Utara,+62-0117-493-4562,1966-07-23,3.32,2022-03-19
Ir. Tasnim Waskita,Jl. Rajawali Barat No. 32,Depok,+62-0495-039-4321,1966-02-13,3.49,2022-04-24
Devi Nugroho,Jl. Sadang Serang No. 69,Medan,+62 (11) 591 7555,1971-04-27,3.06,2019-03-12
"Unggul Anggriawan, M.Ak",Jl. Cihampelas No. 561,Payakumbuh,0864230915,1966-04-06,3.7,2019-10-25
Wadi Haryanto,Gg. Jend. A. Yani No. 09,Gorontalo,+62 (55) 920-8416,2002-07-06,3.29,2019-03-02
Lukman Natsir,Jalan KH Amin Jasuta No. 26,Salatiga,085 188 0772,1999-09-11,3.04,2019-06-24
Galang Hasanah,Gang Cempaka No. 60,Metro,+62 (047) 731 0204,1986-10-15,3.15,2022-12-18
Tgk. Oni Hidayat,Jalan Cihampelas No. 2,Sungai Penuh,089 770 3784,1994-11-02,3.38,2018-11-05
R.M. Gada Riyanti,Gang Dipatiukur No. 50,Metro,+62 (0929) 650 6115,1996-09-06,3.11,2019-06-16
"KH. Bakidin Hardiansyah, M.M.",Gg. Tubagus Ismail No. 0,Palu,+62 (081) 466-6439,1991-02-03,3.46,2022-08-29
Paulin Pratama,Gg. Jayawijaya No. 28,Cirebon,+62 (075) 235 5621,1974-12-22,3.46,2021-03-17
Opan Hidayat,Gang M.T Haryono No. 26,Pangkalpinang,+62-085-396-8247,1996-11-20,3.38,2021-08-04
Kamila Gunawan,Gang Suniaraja No. 02,Padang Sidempuan,+62 (907) 014-0938,1987-02-11,3.3,2019-10-29
"Marsito Pranowo, S.IP",Gg. Pacuan Kuda No. 03,Kupang,+62-73-701-2109,1965-10-19,3.12,2018-08-24
Nova Waluyo,Gang Tebet Barat Dalam No. 26,Banjarmasin,+62 (90) 141 7921,2000-10-25,1.56,2021-11-02
Dt. Galar Mardhiyah,Jalan Waringin No. 799,Pekalongan,+62-162-395-6587,1986-12-13,3.36,2021-01-01
Zaenab Napitupulu,Jl. Ahmad Yani No. 9,Banjar,+62 (67) 427 1922,1965-04-08,3.1,2021-11-14
"Adiarja Usada, S.Pt",Gang Pasirkoja No. 877,Tasikmalaya,(0660) 124 5099,1983-07-13,3.74,2018-08-22
Rahmi Widodo,Jalan Joyoboyo No. 47,Jambi,+62-279-131-1156,1963-10-06,3.72,2021-11-04
"R.M. Opan Yolanda, M.Ak",Gg. Kendalsari No. 285,Ambon,+62 (001) 337 2512,1987-06-12,3.63,2020-05-08
"Drs. Ajeng Santoso, S.Pd",Jalan Cikutra Barat No. 32,Gorontalo,+62 (525) 771 0697,1971-05-01,3.73,2019-05-15
Fathonah Santoso,Gg. S. Parman No. 934,Bontang,+62 (0742) 924-4360,1992-05-02,3.2,2018-09-29
R. Taufik Permadi,Jalan Peta No. 808,Medan,(030) 792 1271,1989-05-05,3.5,2021-06-03
Karta Maheswara,Jalan Cempaka No. 111,Padangpanjang,+62 (037) 789-6758,1997-02-28,3.38,2022-06-20
"Kezia Dongoran, S.Ked",Jalan Siliwangi No. 2,Gorontalo,088 349 8758,1994-08-09,3.59,2023-05-15
Dadi Halim,Jalan Jend. Sudirman No. 0,Sorong,+62 (012) 053-4662,1990-07-10,3.2,2021-05-21
"Among Novitasari, S.E.I",Jl. Rumah Sakit No. 993,Kota Administrasi Jakarta Selatan,+62 (837) 395 9178,1971-09-17,3.48,2021-07-19
Ade Irawan,Gg. Merdeka No. 512,Cilegon,+62 (18) 376 0729,1993-08-16,3.57,2019-01-10
"Garda Dabukke, S.E.",Jalan Pasirkoja No. 82,Tarakan,+62-0299-892-6836,1994-12-20,3.19,2022-09-25
Zalindra Dabukke,Jl. Dipenogoro No. 41,Kota Administrasi Jakarta Timur,+62 (08) 986 9933,1992-10-26,2.98,2020-12-26
"Yani Purnawati, M.Ak",Jl. Pasirkoja No. 33,Magelang,+62 (42) 867-8769,1984-11-30,3.06,2020-05-16
"Aisyah Astuti, M.Farm",Jalan Indragiri No. 250,Jayapura,080 942 4195,1998-05-24,3.12,2021-10-11
Puti Febi Zulaika,Jalan Kiaracondong No. 99,Pontianak,(005) 816-0338,1969-09-28,3.52,2018-09-29
Shania Safitri,Jl. BKR No. 8,Cirebon,+62 (058) 362 0301,1997-11-24,3.0,2022-06-28
Laila Thamrin,Jalan Cikapayang No. 3,Kediri,+62-25-130-9630,1996-03-28,2.93,2021-10-12
"Tgk. Tami Anggraini, M.Ak",Jalan Rajiman No. 271,Salatiga,(0550) 976-4985,1976-10-27,3.1,2019-03-31
Harjasa Rajata,Gg. Suryakencana No. 35,Payakumbuh,+62 (080) 108 9087,1973-02-01,2.83,2021-11-02
Putri Pratama,Jalan Kiaracondong No. 09,Depok,+62 (61) 821-8725,1987-05-14,2.45,2023-02-24
R.M. Hardi Wastuti,Gang K.H. Wahid Hasyim No. 64,Subulussalam,+62 (0580) 111 9992,1981-12-25,3.02,2020-10-07
"Ir. Carla Sihombing, S.H.",Gg. Dipenogoro No. 07,Subulussalam,(036) 680 5272,1999-04-29,3.29,2020-11-30
dr. Usman Farida,Gang Erlangga No. 09,Pasuruan,(0584) 414 0253,1977-11-20,2.88,2021-10-14
T. Wira Manullang,Gang Jamika No. 6,Kendari,(0183) 392 7434,1985-01-12,2.48,2022-01-03
Galih Santoso,Gg. Gegerkalong Hilir No. 382,Metro,(062) 283 3372,1978-03-12,3.26,2019-09-23
"drg. Gina Suartini, S.Pt",Gang KH Amin Jasuta No. 2,Sungai Penuh,0834885685,1984-12-07,3.42,2019-08-17
Dasa Ramadan,Gang S. Parman No. 236,Kota Administrasi Jakarta Selatan,+62 (656) 132 5404,1979-05-14,3.34,2022-09-13
